gene_oid	db_name	id
638185345	GI	3256387
638185345	GenBank/EMBL	BAA29070
638185345	PIRSF	PIRSF006423
638185345	TIGRFam	TIGR00405
638185345	UniProt/TrEMBL	O57778
638185347	GI	3256388
638185347	GenBank/EMBL	BAA29071
638185347	PIRSF	PIRSF003099
638185347	TIGRFam	TIGR00065
638185347	UniProt/TrEMBL	O57776
638185348	GI	3256389
638185348	GenBank/EMBL	BAA29072
638185348	UniProt/TrEMBL	O57777
638185349	GI	3256390
638185349	GenBank/EMBL	BAA29073
638185351	GI	3256391
638185351	GenBank/EMBL	BAA29074
638185352	GI	3256392
638185352	GenBank/EMBL	BAA29075
638185353	GI	3256393
638185353	GenBank/EMBL	BAA29076
638185353	UniProt/TrEMBL	O57772
638185355	GI	3256394
638185355	GenBank/EMBL	BAA29077
638185355	UniProt/TrEMBL	O57771
638185356	GI	3256395
638185356	GenBank/EMBL	BAA29078
638185357	GI	3256396
638185357	GenBank/EMBL	BAA29079
638185357	PIRSF	PIRSF006250
638185357	TIGRFam	TIGR00078
638185357	UniProt/TrEMBL	O57769
638185358	GI	3256397
638185358	GenBank/EMBL	BAA29080
638185358	UniProt/TrEMBL	O57768
638185359	GI	3256398
638185359	GenBank/EMBL	BAA29081
638185360	GI	3256399
638185360	GenBank/EMBL	BAA29082
638185361	GI	3256400
638185361	GenBank/EMBL	BAA29083
638185361	PIRSF	PIRSF000171
638185361	PIRSF	PIRSF500076
638185361	TIGRFam	TIGR00551
638185361	UniProt/TrEMBL	O57765
638185362	GI	3256401
638185362	GenBank/EMBL	BAA29084
638185363	GI	3256402
638185363	GenBank/EMBL	BAA29085
638185363	PIRSF	PIRSF002584
638185363	TIGRFam	TIGR02339
638185363	UniProt/TrEMBL	O57762
638185364	GI	3256403
638185364	GenBank/EMBL	BAA29086
638185364	UniProt/TrEMBL	O57763
638185365	GI	3256404
638185365	GenBank/EMBL	BAA29087
638185365	PIRSF	PIRSF018727
638185365	UniProt/TrEMBL	O57761
638185366	GI	3256405
638185366	GenBank/EMBL	BAA29088
638185366	PIRSF	PIRSF000370
638185366	TIGRFam	TIGR02495
638185366	UniProt/TrEMBL	O57760
638185367	GI	3256406
638185367	GenBank/EMBL	BAA29089
638185368	GI	3256407
638185368	GenBank/EMBL	BAA29090
638185369	GI	3256408
638185369	GenBank/EMBL	BAA29091
638185369	PIRSF	PIRSF002807
638185369	UniProt/TrEMBL	O57757
638185370	GI	3256409
638185370	GenBank/EMBL	BAA29092
