gene_oid	db_name	id
638206142	GI	57639936
638206142	GenBank/EMBL	YP_182414
638206142	GeneID	3233723
638206142	PIRSF	PIRSF005596
638206142	TIGRFam	TIGR00592
638206142	TIGRFam	TIGR01443
638206142	TIGRFam	TIGR01445
638206142	UniProt/TrEMBL	P77933
638206143	GI	57639937
638206143	GenBank/EMBL	YP_182415
638206143	GeneID	3234228
638206143	UniProt/TrEMBL	Q5JEA6
638206144	GI	57639938
638206144	GenBank/EMBL	YP_182416
638206144	GeneID	3234770
638206144	UniProt/TrEMBL	Q5JEA5
638206145	GI	57639939
638206145	GenBank/EMBL	YP_182417
638206145	GeneID	3235955
638206145	PIRSF	PIRSF018745
638206145	UniProt/TrEMBL	Q5JEA4
638206146	GI	57639940
638206146	GenBank/EMBL	YP_182418
638206146	GeneID	3234171
638206146	PIRSF	PIRSF004720
638206146	UniProt/TrEMBL	Q5JEA3
638206147	GI	57639941
638206147	GenBank/EMBL	YP_182419
638206147	GeneID	3234482
638206147	UniProtKB	Q5JEA2
638206148	GI	57639942
638206148	GenBank/EMBL	YP_182420
638206148	GeneID	3233686
638206148	UniProt/TrEMBL	Q5JEA8
638206149	GI	57639943
638206149	GenBank/EMBL	YP_182421
638206149	GeneID	3234091
638206149	UniProtKB	Q5JEC3
638206150	GI	57639944
638206150	GenBank/EMBL	YP_182422
638206150	GeneID	3234992
638206150	UniProtKB	Q5JEC2
638206151	GI	57639945
638206151	GenBank/EMBL	YP_182423
638206151	GeneID	3233932
638206151	UniProtKB	Q5JEC1
638206152	GI	57639946
638206152	GenBank/EMBL	YP_182424
638206152	GeneID	3234282
638206152	PIRSF	PIRSF004681
638206152	TIGRFam	TIGR00149
638206152	UniProt/TrEMBL	Q5JEC0
638206153	GI	57639947
638206153	GenBank/EMBL	YP_182425
638206153	GeneID	3234008
638206153	UniProtKB	Q5JEB9
638206154	GI	57639948
638206154	GenBank/EMBL	YP_182426
638206154	GeneID	3234788
638206154	UniProtKB	Q5JEB8
638206155	GI	57639949
638206155	GenBank/EMBL	YP_182427
638206155	GeneID	3233721
638206155	UniProtKB	Q5JEB7
638206156	GI	57639950
638206156	GenBank/EMBL	YP_182428
638206156	GeneID	3234579
638206156	UniProtKB	Q5JEB6
638206157	GI	57639951
638206157	GenBank/EMBL	YP_182429
638206157	GeneID	3235113
638206157	PIRSF	PIRSF019132
638206157	UniProt/TrEMBL	Q5JEB5
638206158	GI	57639952
638206158	GenBank/EMBL	YP_182430
638206158	GeneID	3233839
638206158	UniProt/TrEMBL	Q5JEB4
638206159	GI	57639953
638206159	GenBank/EMBL	YP_182431
638206159	GeneID	3234709
638206159	UniProtKB	Q5JEB3
638206160	GI	57639954
638206160	GenBank/EMBL	YP_182432
638206160	GeneID	3233724
638206160	UniProtKB	Q5JEB2
638206161	GI	57639955
638206161	GenBank/EMBL	YP_182433
638206161	GeneID	3234863
638206161	PIRSF	PIRSF019394
638206161	UniProt/TrEMBL	Q5JEB1
638206162	GI	57639956
638206162	GenBank/EMBL	YP_182434
638206162	GeneID	3234124
638206162	PIRSF	PIRSF002759
638206162	UniProt/TrEMBL	Q5JEB0
638206163	GI	57639957
638206163	GenBank/EMBL	YP_182435
638206163	GeneID	3235876
638206163	UniProtKB	Q5JEA9
638206164	GI	57639958
638206164	GenBank/EMBL	YP_182436
638206164	GeneID	3234032
638206164	UniProt/TrEMBL	Q5JED7
638206165	GI	57639959
638206165	GenBank/EMBL	YP_182437
638206165	GeneID	3234663
638206165	UniProt/TrEMBL	Q5JED6
638206166	GI	57639960
638206166	GenBank/EMBL	YP_182438
638206166	GeneID	3233842
638206166	UniProtKB	Q5JED5
638206167	GI	57639961
638206167	GenBank/EMBL	YP_182439
638206167	GeneID	3234714
638206167	UniProtKB	Q5JED4
638206168	GI	57639962
638206168	GenBank/EMBL	YP_182440
638206168	GeneID	3233850
638206168	UniProtKB	Q5JED3
638206169	GI	57639963
638206169	GenBank/EMBL	YP_182441
638206169	GeneID	3235970
638206169	UniProtKB	Q5JED2
638206170	GI	57639964
638206170	GenBank/EMBL	YP_182442
638206170	GeneID	3234281
638206170	UniProtKB	Q5JED1
638206171	GI	57639965
638206171	GenBank/EMBL	YP_182443
638206171	GeneID	3233755
638206171	UniProtKB	Q5JED0
638206172	GI	57639966
638206172	GenBank/EMBL	YP_182444
638206172	GeneID	3234434
638206172	UniProtKB	Q5JEC9
638206173	GI	57639967
638206173	GenBank/EMBL	YP_182445
638206173	GeneID	3234951
638206173	UniProtKB	Q5JEC8
638206175	GI	57639968
638206175	GenBank/EMBL	YP_182446
638206175	GeneID	3234433
638206175	UniProt/TrEMBL	Q5JEC7
638206176	GI	57639969
638206176	GenBank/EMBL	YP_182447
638206176	GeneID	3234387
638206176	UniProtKB	Q5JEC6
638206177	GI	57639970
638206177	GenBank/EMBL	YP_182448
638206177	GeneID	3235969
638206177	PIRSF	PIRSF018887
638206177	UniProt/TrEMBL	Q5JEC5
638206178	GI	57639971
638206178	GenBank/EMBL	YP_182449
638206178	GeneID	3235921
638206178	PIRSF	PIRSF019200
638206178	UniProt/TrEMBL	Q5JEC4
638206179	GI	57639972
638206179	GenBank/EMBL	YP_182450
638206179	GeneID	3234610
638206179	UniProt/TrEMBL	Q5JED8
638206180	GI	57639973
638206180	GenBank/EMBL	YP_182451
638206180	GeneID	3234045
638206180	PIRSF	PIRSF002960
638206180	TIGRFam	TIGR02537
638206180	UniProt/TrEMBL	Q9V2X1
638206181	GI	57639974
638206181	GenBank/EMBL	YP_182452
638206181	GeneID	3235004
638206181	PIRSF	PIRSF002960
638206181	TIGRFam	TIGR02537
638206181	UniProt/TrEMBL	Q9V2X0
638206182	GI	57639975
638206182	GenBank/EMBL	YP_182453
638206182	GeneID	3234386
638206182	UniProtKB	Q9V2W9
638206183	GI	57639976
638206183	GenBank/EMBL	YP_182454
638206183	GeneID	3235961
638206183	UniProtKB	Q9V2W8
638206184	GI	57639977
638206184	GenBank/EMBL	YP_182455
638206184	GeneID	3235962
638206184	UniProtKB	Q9V2W7
638206185	GI	57639978
638206185	GenBank/EMBL	YP_182456
638206185	GeneID	3234161
638206185	UniProtKB	Q5JEE9
638206186	GI	57639979
638206186	GenBank/EMBL	YP_182457
638206186	GeneID	3234654
638206186	UniProtKB	Q5JEE8
638206187	GI	57639980
638206187	GenBank/EMBL	YP_182458
638206187	GeneID	3234864
638206187	PIRSF	PIRSF024658
638206187	UniProt/TrEMBL	Q5JEE7
638206188	GI	57639981
638206188	GenBank/EMBL	YP_182459
638206188	GeneID	3233942
638206188	PIRSF	PIRSF015908
638206188	UniProt/TrEMBL	Q5JEE6
638206189	GI	57639982
638206189	GenBank/EMBL	YP_182460
638206189	GeneID	3235521
638206189	PIRSF	PIRSF015907
638206189	UniProt/TrEMBL	Q5JEE5
638206190	GI	57639983
638206190	GenBank/EMBL	YP_182461
638206190	GeneID	3233907
638206190	PIRSF	PIRSF006430
638206190	UniProt/TrEMBL	Q5JEE4
638206191	GI	57639984
638206191	GenBank/EMBL	YP_182462
638206191	GeneID	3233908
638206191	UniProtKB	Q5JEE3
638206192	GI	57639985
638206192	GenBank/EMBL	YP_182463
638206192	GeneID	3235401
638206192	PIRSF	PIRSF019351
638206192	UniProt/TrEMBL	Q5JEE2
638206193	GI	57639986
638206193	GenBank/EMBL	YP_182464
638206193	GeneID	3233722
638206193	UniProtKB	Q5JEE1
638206194	GI	57639986
638206194	GenBank/EMBL	YP_182464
638206194	GeneID	3233722
638206194	UniProtKB	Q5JEE1
638206195	GI	57639987
638206195	GenBank/EMBL	YP_182465
638206195	GeneID	3235485
638206195	UniProtKB	Q5JEE0
638206196	GI	57639988
638206196	GenBank/EMBL	YP_182466
638206196	GeneID	3235690
